sample	name
FP200000586TR_A1	Lactobacillus
D02069C2	Staphylococcus
SS200000863BR_C4	Stenotrophomonas
A01892B6	Corynebacterium
FP200000421BR_E4	Amycolatopsis
SS200000114BR_C1	Micromonospora
A01894D6	Staphylococcus
D02172E3	Gemella
D02173E6	Cutibacterium
D02165D6	Micromonospora
A01892C2	Stenotrophomonas
D02172E3	Naegleria
D02165D2	Pseudomonas
SS200000726BL_D6	Stenotrophomonas
B02210F4	Pseudomonas
D02165E3	Staphylococcus
SS200000726BL_E4	Vibrio
D01574E3	Escherichia
D02173E4	Streptomyces
SS200000114BR_C1	Mycobacterium
D02172E6	Pseudomonas
D02069C1	Pseudomonas
SS200000553BL_B1	Glutamicibacter
D02165D5	Lactobacillus
D02165C6	Clostridium
D02165D4	Amycolatopsis
D02173F5	Vibrio
FP200000421BR_E4	Pseudomonas
D02173E3	Gemella
D02165C6	Gemella
D02172E3	Ligilactobacillus
FP200000611TR_E1	Vibrio
A01894F5	Pseudomonas
B02210F4	Lactobacillus
D02165D5	Achromobacter
C01838C4	Acinetobacter
D02165E6	Streptococcus
D02173F6	Staphylococcus
A01894D6	Pseudomonas
D02165E6	Micromonospora
FP200000611TR_E1	Pseudomonas
SS200000114BR_A2	Porphyromonas
SS200000863BR_C2	Streptomyces
A01894F5	Naegleria
SS200000553BL_C1	Naegleria
D02165D1	Micromonospora
FP200000586TR_A1	Helicobacter
FP200000611TR_E1	Amycolatopsis
SS200000114BR_C1	Nocardia
D02069C1	Naegleria
A01892C2	Naegleria
D02069C2	Naegleria
D02165E4	Vibrio
SS200000115BR_D4	Nocardia
SS200000863BR_C2	Vibrio
SS200000121BL_D3	Vibrio
SS200000726BL_E4	Streptomyces
SS200000726BL_E4	Stenotrophomonas
FP200000611TR_F1	Polynucleobacter
SS200000553BL_B6	Staphylococcus
SS200000158BL_E6	Naegleria
D02165C6	Mycolicibacterium
D02173F6	Micromonospora
D02165D4	Mogibacterium
D02165D1	Pseudomonas
D02165D4	Clostridium
D02069C2	Mycobacterium
D02165D6	Schaalia
A01892B6	Vibrio
D02165D5	Veillonella
FP200000586TR_A1	Kurthia
SS200000553BL_B1	Mycobacterium
A01894F5	Acinetobacter
D02165D5	Mycolicibacterium
C01838C4	Pseudomonas
A02184A2	Stenotrophomonas
FP200000421BR_D4	Staphylococcus
